_id,CODE,DESCRIPTION
50,MXLDC,LABOUR DISPUTE RELATED – MAINTAINER
51,MXLDT,LABOUR DISPUTE RELATED – TTC
52,MXNCA,NO CSA AVAILABLE – NON ESA RELATED
53,MXNOA,NO OPERATOR AVAILABLE – NON ESA RELATED
54,MXO,MISCELLANEOUS OTHER
55,MXPAA,EA – NO TROUBLE FOUND
56,MXPF,EXTERNAL POWER FAILURE
57,MXPLA,FIRE/SMOKE PLAN A
58,MXPLB,FIRE/SMOKE PLAN B – SOURCE LRT
59,MXPLC,FIRE SMOKE PLAN C
60,MXPR,PARADES/RACES/MARCHES
61,MXPR1,PRIORITY ONE – TRAIN IN CONTACT WITH PERSON
62,MXPU,USED AS A PUSHER
63,MXSAN,UNSANITARY VEHICLE
64,MXTD,TRAINING DEPT. RELATED DELAYS
65,MXTO,MISCELLANEOUS TRANSPORTATION OTHER (EMPLOYEE NON-CHARGEABLE)
66,MXUS,UNABLE TO MAINT SCHED DUE TO TRAFFIC/PASSENGER CONGESTION
67,MXWEA,WEATHER REPORTS / RELATED PROBLEMS
68,MXWR,WORK REFUSAL
69,PXATC,S&TCS COMMUNICATIONS/SERVER FAILURE
70,PXDCS,DATA COMMUNICATIONS SYSTEM FAILURE
71,PXEAS,EMERGENCY ALARM STATIONS
72,PXEME,ELECTRICAL – MAINTENANCE ERROR
73,PXEO,ELECTRICAL – OTHER
74,PXMEL,ANY ESCL. OR ELEV. INCIDENT – TRANSPORTED OR MEDICAL AID DECLINED
75,PXMO,INFRASTRUCTURE MAINTENANCE – OTHER
76,PXMST,ANY STAIRWAY INCIDENT – TRANSPORTED OR MEDICAL AID DECLINED
77,PXOV,OVERHEAD DEFECT
78,PXSAC,SIGNALS AXLE COUNTER BLOCK FAILURE
79,PXSBE,NORMING POINT FAILURE
80,PXSCA,SCADA-RELATED PROBLEMS
81,PXSCR,TRAIN RADIO FAULT
82,PXSI,SIGNAL OR RELATED COMPONENTS FAILURE
83,PXSIS,SIGNALS-/TRACK-/WEATHER-RELATED ISSUES
84,PXSNT,SIGNAL PROBLEM – NO TROUBLE FOUND
85,PXSO,SIGNALS – OTHER
86,PXSRA,LRT RADIO SYSTEM PROBLEMS
87,PXSTP,TRACTION POWER OR RELATED COMPONENTS FAILURE
88,PXSW,TRACK SWITCH FAILURE
89,PXTD,DEBRIS AT TRACK LEVEL – CONTROLLABLE
90,PXTDN,DEBRIS AT TRACK LEVEL – NON-CONTROLLABLE
91,PXTIS,ICE-/SNOW-RELATED PROBLEM
92,PXTR,RAIL-RELATED PROBLEM
93,PXTS,STRUCTURE-RELATED PROBLEM
94,PXW,TRACK DEFECT
95,PXWZ,WORK ZONE PROBLEMS
96,SXAE,ASSAULT – EMPLOYEE INVOLVED
97,SXAM,ASSAULT - MAINTAINER
98,SXAP,ASSAULT – CUSTOMER INVOLVED
99,SXAX,ASSAULT – MAINTAINER INVOLVED
100,SXBT,BOMB THREAT
101,SXCOL,STATION ATTENDANT BOOTH SILENT ALARM ACTIVATED
102,SXDP,DISORDERLY PATRON
103,SXEAS,EAS ACTIVATED – NO TROUBLE FOUND
104,SXG,GRAFFITI/SCRATCHITI
105,SXO,SECURITY OTHER
106,SXPOL,HELD BY POLICE – NON-TTC-RELATED
107,SXROB,ROBBERY
108,SXSA,SEXUAL ASSAULT
109,SXSP,SUSPICIOUS PACKAGE
110,SXUEG,UNAUTHORIZED IN THE EXCLUSIVE GUIDEWAY
111,TXATC,OPERATOR MISS DOCKING POINTS
112,TXCC,TRANSIT CONTROL RELATED – LRT CONTROLLER ERROR
113,TXDOE,DOORS OPEN IN ERROR
114,TXLF,LATE ENTERING SERVICE – FIRST VEHICLE
115,TXML,MAINLINE STORAGE
116,TXMVS,OPERATOR VIOLATED SIGNAL
117,TXNCA,NO CSA AVAILABLE
118,TXNIP,OPERATOR NOT IN POSTION
119,TXNOA,NO OPERATOR AVAILABLE
120,TXO,TRANSPORTATION OTHER
121,TXOI,ON BOARD INJURY
122,TXOS,OPERATOR OVERSHOT PLATFORM
123,TXOVS,OPERATOR OVERSPEED
124,TXPD,TTC COLLISION – PROPERTY DAMAGE
125,TXPI,TTC COLLISION – PERSONAL INJURY
126,TXS,UNABLE TO MAINTAIN SCHEDULE
127,TXST,STORM TRAINS
128,TXSUP,SUPERVISORY ERROR
129,TXSUP,SUPERVISORY ERROR
130,TXSV,OPERATOR OVERSPEED
